street,city,state,geoid,state_code,county_code,tract
15 COLONIAL DR,SHREWSBURY,MA,250277395001005,25,027,739500
4565 KIPLING STREET,WHEATRIDGE,CO,080590104034001,08,059,010403
12334 GEDDES ROAD,HEMLOCK,MI,261450120022025,26,145,012002
307 S. RAMONA ST,HEMET,CA,060650434012029,06,065,043401
6401 SOUTH OLIVER,WICHITA,KS,,,,
271 LITTLETON ROAD,WESTFORD,MA,,,,
2800 LAKESHORE WAY,TWIN LAKES,WI,550590030013011,55,059,003001
101 DELAWARE STREET,NYC,NY,,,,
1849 S.S BANCROFT STREET,PHILADELPHIA,PA,421010030013005,42,101,003001
MILLETT ,LANSING,MI,,,,
15 HOPKINS BRANCH WAY,FREDERICKSBURG,VA,511790103073008,51,179,010307
245 LYMAN,TERRELL HILLS,TX,480291204011001,48,029,120401
620 E. PEACH,BOZEMAN,MT,300310007011005,30,031,000701
700 S. PERRY STREET,ATTICA,IN,180459577003030,18,045,957700
6200 SARATOGA BLVD,CORPUS CHRISTI,TX,483550033063003,48,355,003306
9506 CENTRAL AVE,MONTCLAIR,CA,060710002051004,06,071,000205
447 N. LAKEWOOD AV,BALTIMORE,MD,245100602004002,24,510,060200
4226 KELLER ROAD,HOLT,MI,260650054021000,26,065,005402
S. CAMAS BEHIND WAPATO IRRIGATION,WAPATO,WA,,,,
2754 WILDER LANE,WATERFORD,MI,261251444002005,26,125,144400
GUADALUPE STREET AT 3RD AVE.,CARMEL,CA,,,,
28 CROCKETT LANE,EWING,NJ,340210037061006,34,021,003706
100 PATTEN CHAPEL ROAD,CHATTANOOGA,TN,470650121002001,47,065,012100
1644/1646 PARK AVENUE,NEW YORK,NY,360610184005002,36,061,018400
BONNEVILLE AVENUE AND GRAND CENTRAL PARKWAY,LAS VEGAS,NV,320030003012035,32,003,000301
321 GREYCLIFF BLUFF DR,ST. LOUIS,MO,291892204451015,29,189,220445
1 MUSEUM WAY,CORNING,NY,,,,
7775 SMITHS CREEK ROAD,WALES TOWNSHIP,MI,261476526001071,26,147,652600
19717 FAIRPORT,DETROIT,MI,261635033002005,26,163,503300
7806 EAGLE CT.,ALEXANDRIA,VA,510594215002000,51,059,421500
INTERSECTION: O STREET ,BREMERTON,WA,,,,
8336 N. SAGINAW,MT. MORRIS,MI,,,,
4771 TRENTON COURT,LONG GROVE,IL,170978645111034,17,097,864511
149 AVE. TO 156 AVE FROM 77 ST. TO 80 ST.,HOWARD BEACH,NY,,,,
25 E TURNBERRY DRIVE,TOWN OF GREENBURGH,NY,,,,
23136 PARK CONTESSA,CALABASAS,CA,060378002042004,06,037,800204
405 RAMBLER RD,MERCED,CA,060470010043002,06,047,001004
3475 WILLOW LAKE BLVD,VADNAIS HEIGHTS,MN,,,,
1042 NORTH 51ST AVENUE,PHOENIX,AZ,040131125122005,04,013,112512
150'SOUTH OF THE INTERSECTION OF NW GRANT ,TOPEKA,KS,,,,
"INDIAN TRAIL ROAD, BETWEEN 26 AND 27 MILE ROAD",RAY TOWNSHIP,MI,,,,
439 CORBETT AVENUE,SAN FRANCISCO,CA,060750204012001,06,075,020401
SOMERSVILLE RD. ,ANTIOCH,CA,,,,
UNKNOWN,BUSHLAND,TX,,,,
EL PASO DISTRIBUTION SYSTEM,EL PASO,TX,,,,
NW 28TH STREET ,BETHANY,OK,,,,
3802 HILLTOP DRIVE,SAN DIEGO,CA,060730034031001,06,073,003403
RUBY AVE.  ,SAN JOSE,CA,,,,
1ST ,MILFORD,NE,,,,
1840 E. 23RD ST. UNIT A,MERCED,CA,060470014012002,06,047,001401
118 PENROSE LANE,COATESVILLE,PA,420293056001011,42,029,305600
1809 EDSON,HUDSONVILLE,MI,261390218022000,26,139,021802
2000 W. OCEANFRONT,NEWPORT BEACH,CA,060590628001009,06,059,062800
272 RIVER RD,ANDOVER,MA,250092544021007,25,009,254402
ELDERADO PARKWAY ,LITTLE ELM,TX,,,,
15253 EVANSTON,DETROIT,MI,261635011002006,26,163,501100
"6908 REDONDO PEAK RD, N.E.",RIO RANCHO,NM,350430107024020,35,043,010702
18117 N PARKVIEW TERRACE LOOP,EAGLE RIVER,AK,020200002054000,02,020,000205
136 W. MAIN ST,NEWARK,OH,390897590001061,39,089,759000
310 PAIGE ST.,SCHENECTADY,NY,360930210021004,36,093,021002
EAST 80TH STREET AND CRANDON AVENUE,CHICAGO,IL,170314605001014,17,031,460500
37 KNIGHT DR,NORTH LITTLE ROCK,AR,051190027002001,05,119,002700
EARTHQUAKE EPICENTER,AMERICAN CANYON,CA,,,,
35189 CO 6,GOODHUE,MN,,,,
629 HWY D,LOCKWOOD,MO,,,,
25TH ST. AND HOLMES,KANSAS CITY,MO,,,,
3050 LAKECREST CIRCLE,LEXINGTON,KY,210670042084009,21,067,004208
3575 WEST TROPICANA AVENUE,LAS VEGAS,NV,320030029621008,32,003,002962
3218 QUANDT ROAD,LAFAYETTE,CA,060133400042006,06,013,340004
RIDDER PARK DR. ,SAN JOSE,CA,,,,
7373 SHERMAN CHURCH RD,EAST SPARTA,OH,,,,
NW CORNER OF MAIN ST AND SUNNYSIDE ST,BEMUS POINT,NY,,,,
2404 VENUS ST.,PORTAGE,IN,181270504082006,18,127,050408
"WEST SIDE OF IN161, EAST SIDE OF 2ND AVE, SOUTH MAIN STREET",HOLLAND,IN,,,,
417 PRIMAVERA AVE.,PALM BEACH,FL,120990035132009,12,099,003513
935 BROADWAY STREET,KING CITY,CA,060530113061005,06,053,011306
BELMONT STREET AND LAKE MEAD BOULEVARD,NORTH LAS VEGAS,NV,320030043021000,32,003,004302
3166 HWY 83N,SEELEY LAKE,MT,,,,
2101 N. PITCHER STREET,KALAMAZOO,MI,260770015013032,26,077,001501
45 TRANTOR PLACE,NEW YORK,NY,,,,
457 RED WING LANE,DEKALB,IL,170370005001030,17,037,000500
1600 MAIN,DICKSON CITY,PA,420691115001036,42,069,111500
19910 LIZZIE RIDGE LN,CYPRESS,TX,482015430075028,48,201,543007
1149 PEMBROKE,NEWARK,OH,390897539002015,39,089,753900
LOUISIANA HIGHWAY 21 @ N. AZALEA,COVINGTON,LA,,,,
1 S. MARKET STREET,SAN JOSE,CA,060855008003002,06,085,500800
1705 GRANVILLE AVENUE,MUNCIE,IN,180350011001009,18,035,001100
2808 AVENUE F,ROSENBERG,TX,481576750001022,48,157,675000
1384 ESSEX WAY,SAN JOSE,CA,060855065051001,06,085,506505
516 WEST JEFFERSON ST,KOSCIUSKO,MS,280070606001014,28,007,060600
4624 WINTER PARK,MEMPHIS,TN,471570217471015,47,157,021747
40 NOTTINGHAM WAY,MAHOPAC,NY,360790113002001,36,079,011300
243 N MULLEN RD AT LARKSPUR,BELTON,MO,290370600043011,29,037,060004
8 LOWER VALLEY LN.,NEWARK,DE,100030136151003,10,003,013615
2148 WEST 107TH PLACE,CHICAGO,IL,170317502003002,17,031,750200
413 SMITH STREET,DUNMORE,PA,420691121002018,42,069,112100
13417 W STATE ROAD 46,COLUMBUS,IN,180050110002009,18,005,011000
OCOTILLO ROAD ,QUEEN CREEK,AZ,,,,
11812 MILLWRIGHT PARKWAY,AUSTIN,TX,484910204053011,48,491,020405
925 S. BUCKNER BLVD.,DALLAS,TX,481130093011017,48,113,009301
51ST. AVE. ,OAKLAND,CA,,,,
409 WEST HILL DR.,JACKSON,MS,280490007001016,28,049,000700
805 SOUTH MIDKIFF,MIDLAND,TX,483290011001023,48,329,001100
7340 BRIGHTON RD,COMMERCE CITY,CO,080010088023032,08,001,008802
621 LAKE ST,SANDPOINT,ID,160179503002064,16,017,950300
5 MCCRORY STREET,CORDOVA,AL,011270215003021,01,127,021500
9806 ROCKCREST DR,HOUSTON,TX,482015216001021,48,201,521600
2160 TULLY ROAD,SAN JOSE,CA,060855033053006,06,085,503305
7912-14 ARDLEIGH ST.,PHILADELPHIA,PA,421010257001005,42,101,025700
1499 W. PALMETTO PARK RD.,BOCA RATON,FL,120990076031004,12,099,007603
992 EL CAMINO REAL,SAN BRUNO,CA,060816041041002,06,081,604104
13067 BESS AVE,BALDWIN PARK,CA,060374047032003,06,037,404703
2398 SOUTH BOULDER HIGHWAY,HENDERSON,NV,320030054331012,32,003,005433
169 BATLEY ROAD,Not Within a Municipality,TN,,,,
10901 SE 29TH,MIDWEST CITY,OK,,,,
7 BANDON CIRCLE,WESTFORD,MA,,,,
400 EAST SOUTH STREET,JACKSON,MI,260750013001018,26,075,001300
2637 KINGSTOWNE DRIVE,COMMERCE TOWNSHIP,MI,261251345001004,26,125,134500
45 SHAWMUT RD,CANTON,MA,250214151013009,25,021,415101
130 WOODBURY STREET,PROVIDENCE,RI,440070034001026,44,007,003400
59 OAK AV,STAFFORD TOWNSHIP,NJ,340297351043028,34,029,735104
915 INGRA STREET,ANCHORAGE,AK,020200009011041,02,020,000901
ELK-GROVE FLORIN RD AND GERBER RD,SACRAMENTO,CA,060670051022002,06,067,005102
85 ROUNSEVELL ROAD,TEWKSBURY,MA,250173154022027,25,017,315402
68 LOCKE ROAD,HAMPTON,NH,330150650093000,33,015,065009
442 PACIFIC STREET,BROOKLYN,NY,360470041003001,36,047,004100
5204 TRENTON,DETROIT,MI,261635261001006,26,163,526100
1903 PEBBLE LAKE ROAD,FERGUS FALLS,MN,271119610001006,27,111,961000
INTERSECTION OF POWERS BLVD AND OLD RANCH RD,COLORADO SPRINGS,CO,,,,
9430 ELOISE ST.,DALLAS,TX,481130119011002,48,113,011901
SEC OF RANGELINE ,JOPLIN,MO,,,,
443 CALHOUN DIRVE,FLORENCE,AL,010770110003000,01,077,011000
59 LONE ST,MARSHFIELD,MA,250235081015005,25,023,508101
3418 SUNNINGDALE WAY,UPPER ARLINGTON,OH,390490063232001,39,049,006323
INTERSECTION DORSETT STREET @ FULGHAM DRIVE,DOUGLASVILLE,GA,,,,
VAR. LOC'S IN NORTHERN QUEENS,NEW YORK,NY,,,,
298 KINGS TOWN WAY,DUXBURY,MA,250235071012006,25,023,507101
316 S. MAIN STREET,MEDFORD,WI,551199605003015,55,119,960500
4487 E. M-71,CORUNNA,MI,261550317003022,26,155,031700
INTERSECTION OF E 54 STREET AND LEXINGTON AVENUE,NEW YORK,NY,,,,
9503 RUSH ST,SOUTH EL MONTE,CA,060374335061013,06,037,433506
340 SW S MACEDA BLVD.,PORT ST LUCIE,FL,,,,
2415 N. CEDAR STREET,HOLT,MI,260650054011007,26,065,005401
CAHUENGA BLVD AND YUCCA ST,LOS ANGELES,CA,060371902011002,06,037,190201
SR 37 BETWEEN BURRER DR. ,SUNBURY,OH,,,,
10047 OLD IN RT 37,TELL CITY,IN,181239523001008,18,123,952300
NORTH OF AR RIVER @ I-430,NORTH LITTLE ROCK,AR,,,,
6000 WALLISVILLE RD,HOUSTON,TX,482012116001002,48,201,211600
6801 S 52ND,LINCOLN,NE,311090037094002,31,109,003709
7538 NORTHEAST 114TH AVENUE,Not Within a Municipality,IA,,,,
2097 GENERAL BOOTH BLVD,VIRGINIA BEACH,VA,518100454082022,51,810,045408
S. DORT HIGHWAY ,FLINT,MI,,,,
102 S. MANNSTON STREET,GETTYSBURG,SD,461070001001055,46,107,000100
INTERSECTION OF SOUTH MAIN STREET AND 8TH STREET,WHITE DEER,TX,,,,
KINGS HIGHWAY AND EAST 98TH STREET,BROOKLYN,NY,360470892003000,36,047,089200
645 KAPAHULU AVE,HONOLULU,HI,150030015011012,15,003,001501
1195 LONG POINT DRIVE,LAKE TOWNSHIP,MI,,,,
1716 STUTZ DR.,TROY,MI,261251977021000,26,125,197702
3901 HIXSON PIKE,CHATTANOOGA,TN,470650105015000,47,065,010501
14360 SE EASTGATE WAY,BELLEVUE,WA,530330234012020,53,033,023401
2421 OREGON STREET,UNION CITY,CA,060014403081005,06,001,440308
8239 DON AVENUE,STOCKTON,CA,060770032161005,06,077,003216
615 2ND STREET,BAY CITY,TX,483217304003015,48,321,730400
PLEASANT VALLEY STREET ,PLEASANT VALLEY,MO,,,,
VAR. LOC'S IN NORTHERN QUEENS,QUEENS,NY,,,,
1215 AND 1217 REBECCA AVE,NORTH BRADDOCK,PA,420035130001031,42,003,513000
GREEN RIVER RD ,CORONA,CA,,,,
8070 FAIR OAKS COURT,JONESBORO,GA,130630406141003,13,063,040614
7901 PICKFAIR DR,BLOOMINGTON,MN,270530259053009,27,053,025905
66 THE DOWNS,TUSCALOOSA,AL,011250119014001,01,125,011901
3740 156TH ST WEST,ROSEMOUNT,MN,270370610072001,27,037,061007
800 N. PENNSYLVANIA AVENUE,LANSING,MI,260650008003012,26,065,000800
E. TRUMAN RD. AND WABASH,KANSAS CITY,MO,290950161002056,29,095,016100
715 MONTANA AVE,SANTA MONICA,CA,060377013044015,06,037,701304
869 39TH ST,SAN DIEGO,CA,060730034032012,06,073,003403
3400 11TH STREET,BREMERTON,WA,530350811001008,53,035,081100
2000 BLOCK OF WHITE OAK LANE,SANTA CLARA,CA,060855085072001,06,085,508507
111 N. BROADWAY AVENUE,PENNSVILLE,NJ,340330215001052,34,033,021500
15158 FM 916,MAYPEARL,TX,481390609001046,48,139,060900
10218 DODGE ROAD,MONTROSE,MI,260490126031008,26,049,012603
11852 MILL VALLEY ST,PARKER,CO,080350139112025,08,035,013911
113 ARABIAN ROAD,WAXAHACHIE,TX,481390613001063,48,139,061300
12218 SLEEPY-HORSE LANE,COLUMBIA,MD,240276056011001,24,027,605601
13 COURRANT STREET,CARTERSVILLE,GA,130159607014005,13,015,960701
56 COURT STREET,LANCASTER,NY,360290144003015,36,029,014400
5205 S. 193RD E. AVE,BROKEN ARROW,OK,401450305061006,40,145,030506
718 BRATTONTOWN CIRCLE,LAFAYETTE,TN,471119702004042,47,111,970200
2045 SHELBY-GANGES RD.,SHELBY,OH,391390027005009,39,139,002700
2700 21ST STREET,SACRAMENTO,CA,060670023002000,06,067,002300
WEST 22 ST AND NEPTUNE AVE,BROOKLYN,NY,360470610045000,36,047,061004
127 E. GROVE STREET,STOCKTON,CA,060770014003011,06,077,001400
3404 GEORGIA ST,LOUISIANA,MO,291634601004027,29,163,460100
2038 WHEELING,KANSAS CITY,MO,290950021001008,29,095,002100
INTERSECTION RHODE ISLAND RD AND HASKEL CIRCLE,LAKEVILLE,MA,,,,
5730 MANGO DRIVE,MEHLVILLE,MO,,,,
28800 NORTHLINE ROAD,ROMULUS,MI,261635862011018,26,163,586201
207 EMERALD ST. 03431,KEENE,NH,330059714032004,33,005,971403
42-22 ORCHARD STREET,NEW YORK,NY,360610016004001,36,061,001600
INTERSECTION OF EAST 188 STREET AND PARK AVENUE,NEW YORK,NY,,,,
THATCHER,THATCHER,AZ,,,,
12505 WHISPERING HOLLOW DRIVE,OKLAHOMA CITY,OK,401091085281014,40,109,108528
422 SOUTH 11TH STREET,OMAHA,NE,310550018002015,31,055,001800
12755 ALLISONVILLE ROAD,FISHERS,IN,180571108191011,18,057,110819
2520 YORK ROAD,JAMISON,PA,420171049012016,42,017,104901
4489 W. JEFFERSON,ECORSE,MI,,,,
51 S. THOMPSON RD,BLACKFOOT,ID,160119504001048,16,011,950400
61 MARR AVE,OAKLAND,CA,060014045011002,06,001,404501
21 OLD COUNTRY ROAD,WATER MILL,NY,361031907122014,36,103,190712
5040 MAIN STREET,MAYSLICK,KY,211619605001060,21,161,960500
1213 LILAC LANE,KENAI,AK,021220006001020,02,122,000600
134 BUCKLEY PL,HENRIETTA,NY,360550132081005,36,055,013208
40 WORTH STREET,NEW YORK,NY,360610031002000,36,061,003100
14100 FRANKLIN ST,WOODBRIDGE,VA,511539005041000,51,153,900504
4119 HWY 8 ,ARKADELPHIA,AR,,,,
467 CHERRY DR,STEAMBOAT SPRINGS,CO,081070006002005,08,107,000600
40 CLINTON STREET,BROOKLYN,NY,360470005021000,36,047,000502
371 INDUSTRIAL PARK DRIVE,BELLEVILLE,MI,261635870003001,26,163,587000
4946 TILBURY,HOUSTON,TX,482014317012002,48,201,431701
1010 SAINT CHARLES ST,SAINT LOUIS,MO,295101256003009,29,510,125600
44275 DIVISION ST,LANCASTER,CA,060379005012002,06,037,900501
1400 WALNUT AVE,ROSENBERG,TX,481576753003031,48,157,675300
371 GLENCOE CHURCH LOOP,SUMMERFIELD,NC,371570410022044,37,157,041002
372 LEXINGTON WAY,LITTLESTOWN,PA,420010313003023,42,001,031300
2729 HARRISON AVE,EVERETT,WA,530610405001003,53,061,040500
1511 W 13TH AVE.,CORSICANA,TX,483499709021034,48,349,970902
BELLE HOLLOW,BELLE,WV,,,,
RHEEM BLVD ,MORAGA,CA,,,,
46 WOODSTOCK DRIVE,FAIRFIELD,OH,390170109122000,39,017,010912
321 N. HOOK ROAD,PENNSVILLE,NJ,340330214002013,34,033,021400
MT. GILLIAD ,KELLER,TX,,,,
I-430 N OF ARKANSAS RIVER,NORTH LITTLE ROCK,AR,,,,
CHOSIN FEW WAY,BAYONNE,NJ,,,,
16400 GOLF CLUB DRIVE,CROSBY,TX,482012519042001,48,201,251904
8411 GREENWOOD AVE N,SEATTLE,WA,530330029001000,53,033,002900
900 SW HOLDEN ST,SEATTLE,WA,530330108001017,53,033,010800
HARRISION BLVD AND DOUGLAS ST,OGDEN,UT,490572001003002,49,057,200100
324 AVENUE A,FOREST HILLS,PA,,,,
1120 MCCONNELL DRIVE,DECATUR,GA,130890215062002,13,089,021506
173 S ARDMORE AVE,LOS ANGELES,CA,060372114201004,06,037,211420
342 EAST MAIN ST.,ASHLAND,OH,390059705001007,39,005,970500
430 N WEST STREET,CARLINVILLE,IL,171179564001001,17,117,956400
7191 BETH-BATH PIKE,BATH,PA,420950165001016,42,095,016500
9955 LINDA LANE,DES PLAINES,IL,170318061041003,17,031,806104
8915 GERBER ROAD,SACRAMENTO,CA,060670092011032,06,067,009201
JOSEPH E LOWERY BLVD,ATLANTA,GA,,,,
SHELL ROAD ,GEORGETOWN,TX,,,,
13400 DENVER DRIVE,HARTLAND,MI,260937135001001,26,093,713500
NORTHEAST CORNER OF E 4TH ST AND N ALMONT AVE,IMLAY CITY,MI,,,,
4649 FARMDALE AVE,LOS ANGELES,CA,,,,
3900 GREENFIELD,MELVINDALE,MI,,,,
6800 GRATIOT,DETROIT,MI,261635193001002,26,163,519300
101 W. MARGARET,DETROIT,MI,261635090003003,26,163,509000
2510 ALUM ROCK AVENUE,SAN JOSE,CA,060855040021003,06,085,504002
333 JOHNSON RD,LOS BANOS,CA,060470022033011,06,047,002203
7550 COMMERCE CIRCLE,TRUSSVILLE,AL,,,,
918 W. 5TH STREET,NEWTON,KS,200790303002004,20,079,030300
1660 S TAMIAMI TRAIL,OSPREY,FL,121150021021003,12,115,002102
"ON ACACIA TREE DR., 150-FEET WEST OF ANASAZI DRIVE",LAS VEGAS,NV,,,,
2410 PRAIRIETON AVENUE,TERRE HAUTE,IN,181670019002009,18,167,001900
2437 FAIRFIELD AVE.,SHREVEPORT,LA,220170210001073,22,017,021000
5858 SHOUP AVE,WOODLAND HILLS,CA,060371372023002,06,037,137202
107 LOW STREET,NEWBURYPORT,MA,250092682004001,25,009,268200
6772 BURBAGE LAKE CR,SUFFOLK,VA,518000751061001,51,800,075106
271 HARMONY RD,MIDDLETOWN,NJ,340258007012024,34,025,800701
7900 WYOMING BLVD. NE,ALBUQUERQUE,NM,350010037122002,35,001,003712
300 BLK W. CLARENCE STREET/ US HWY 54,HOOKER,OK,,,,
1041 W CAMBRIDGE AVE,VISALIA,CA,061070018002018,06,107,001800
950 CHAMPION LANE,DEER PARK,CA,060552017005000,06,055,201700
8701 ARLISS ST,SILVER SPRING,MD,240317023012000,24,031,702301
10753 SANTA ROSA RD,CAMARILLO,CA,061110053053029,06,111,005305
SIGNAL HILL RD,MANASSAS,VA,,,,
3401 HARRY S TRUMAN BLVD,SAINT CHARLES,MO,291833108011006,29,183,310801
12425 OLD GENTILLY ROAD,NEW ORLEANS,LA,,,,
3316 CARLISLE PIKE,NEW OXFORD,PA,420010308032037,42,001,030803
1703 BACON ST,SAN DIEGO,CA,060730073042001,06,073,007304
11466 STATE HWY 618,CONNEAUT LAKE,PA,,,,
APPROXIMATE INTERSECTION OF ROAD 30 AND ROAD I,Not Within a Municipality,KS,,,,
CAREY RD AND STATE ROUTE 9,SALEM,OH,,,,
7147 GERMANO RD. SE,CARROLTON,OH,390197206003023,39,019,720600
98 FIR DRIVE,WINTER PARK,CO,080490002042046,08,049,000204
2113 FRIENDSHIP ROAD,BUFORD,GA,,,,
500 BLOCK OF EAST VETERANS MEMORIAL DRIVE,KAPLAN,LA,,,,
2711 W 35TH AVE,GARY,IN,180890412001007,18,089,041200
9TH STREET AND MAGNOLIA,SALINA,KS,,,,
IMPERIAL PARKWAY ,BONITA SPRINGS,FL,,,,
840 FULTON STREET,BROOKLYN,NY,360470199003002,36,047,019900
300 WEST 234 STREET,NEW YORK,NY,360610037001002,36,061,003700
ON CHEYENNE AVE (NV-574) NEAR REVERE ST,NORTH LAS VEGAS,NV,,,,
6TH STREET AND AVENUE K ALLEYWAY,SUNRAY,TX,,,,
PATTERSON ST ,WHITE SULPHUR SPRINGS,WV,,,,
ELKVIEW CROSSINGS MALL RD,ELKVIEW,WV,,,,
207 W ROCKRIMMON BLVD,COLORADO SPRINGS,CO,080410037062001,08,041,003706
91 STRAWFLOWER CT,ROMEOVILLE,IL,171978805101001,17,197,880510
2730 COLUMBUS AVE,SPRINGFIELD,OH,390230016003029,39,023,001600
605 WEST 141 STREET,NEW YORK,NY,360610225001005,36,061,022500
500 NW 23RD AVE,PORTLAND,OR,410510047003003,41,051,004700
639 DAVIS RD,CHATHAM,VA,511430105001035,51,143,010500
SQUIRE RD AND ROUTE 1 NORTH SIDE,REVERE,MA,250251706011001,25,025,170601
2124 CHESHIRE BRIDGE ROAD,ATLANTA,GA,131210092031000,13,121,009203
201 E ZURICH DR.,PAYSON,AZ,040070004001004,04,007,000400
1147 ECKERTON DR,NOLENSVILLE,TN,471870501022019,47,187,050102
FOSTER AVE BETWEEN NEW YORK AVE AND NOSTRAND AVE,BROOKLYN,NY,,,,
1154 PARK AVENUE,SAN JOSE,CA,060855019011008,06,085,501901
50 N. 1ST AVENUE,CANTON,IL,170579534002011,17,057,953400
1401 WEST 5TH STREET,SHERIDAN,WY,560330004003036,56,033,000400
"4056  N CAN-ADA RD, NAMPA",Not Within a Municipality,ID,,,,
4095 N GOLDEN STAVE BLVD,FRESNO,CA,,,,
251 E FLORIDA AVE,MELBOURNE,FL,120090651241012,12,009,065124
915 S. 49TH STREET,PHILADELPHIA,PA,421010078004004,42,101,007800
N.W.CORNER W. KELLI AVE. AND HWY 62,FARMINGTON,AR,,,,
14145 PARKER ROAD,HOMER GLEN,IL,171978810051019,17,197,881005
INTERSECTION OF 43RD AVENUE AND 104TH STREET,CORONA,NY,360810403012001,36,081,040301
E CANYON RIM RD ,ANAHEIM,CA,,,,
114 GEYSER ST.,WEST YELLOWSTONE,MT,300310015002023,30,031,001500
219 DUNKARD AVE,WESTOVER,WV,540610112003018,54,061,011200
201 US 41,L' ANSE,MI,,,,
"7525 EL PASO RD, CALDWELL",Not Within a Municipality,ID,,,,
2845 W. BROAD ST.,COLUMBUS,OH,390490046203001,39,049,004620
126 W 53 STREET,NEW YORK,NY,360610131002001,36,061,013100
300 N 300 E,JEROME,ID,160539702002086,16,053,970200
1317 SOUTH HILLS DRIVE,WENATCHEE,WA,530079613011026,53,007,961301
2209 S GEORGE WASHINGTON BLVD,YUBA CITY,CA,061010505042005,06,101,050504
1104 MEDA AVE.,GLENDORA,CA,060374004041012,06,037,400404
726 EAST 900 NORTH STREET,MAYS,IN,,,,
1974 E MILWAUKEE AVENUE,DETROIT,MI,261639851001043,26,163,985100
1748 S MOUNTAIN AVE,ONTARIO,CA,060710017022010,06,071,001702
445 HWY 36 N,ROSENBERG,TX,481576754021026,48,157,675402
EAST BIDWELL ST AND OAK AVE PARKWAY,FOLSOM,CA,,,,
APPX. 250 FEET SOUTH OF THE INTERSECTION OF HWY 140 AND HALL STATION ROAD,ADAIRSVILLE,GA,,,,
3444 WISCONSIN AVE,VICKSBURG,MS,281499506005010,28,149,950600
23070 YAMHILL RIVER RD,WILLAMINA,OR,410530204002002,41,053,020400
11074 E CONEJO AVE,KINGSBURG,CA,060190073004024,06,019,007300
2117 SOUTH LOCUST,GRAND ISLAND,NE,310790011003024,31,079,001100
7117 ROOSEVELT AVENUE,JACKSON HEIGHTS,NY,,,,
1583 VICTORY BOULEVARD,STATEN ISLAND,NY,360850147002013,36,085,014700
97 SUMAC CT,PAGOSA SPRINGS,CO,080079742011029,08,007,974201
159 THORNBURY ROAD,NEW ROCHELLE,NY,,,,
2121 MAIN ST.,DALLAS,TX,481130031031010,48,113,003103
10611 CHEVROLET WAY,ESTERO,FL,,,,
111 CONVAIR DR,CORAOPOLIS,PA,420034511052004,42,003,451105
200 BLOCK OF PECAN ST.,FORT WORTH,TX,484391233022022,48,439,123302
1659 W WHITE MOUNTAIN BLVD,LAKESIDE,AZ,040179613004006,04,017,961300
30 ALLENS AVENUE,PROVIDENCE,RI,440070006001026,44,007,000600
172 WYTHE AVE,NEW YORK,NY,,,,
110 TOLL GATE ROAD,WARWICK,RI,440030222011004,44,003,022201
126 N. OHIO STREET,SIDNEY,OH,391499720003005,39,149,972000
NEAR GEAR RAOD EAST OF ROUTE 99,BURLINGTON,WA,,,,
2760 UNION ROAD,SAINT LOUIS,MO,291892206024008,29,189,220602
75TH AVENUE ,PHOENIX,AZ,,,,
CR10 WEST OF CR3 HALF MILE,Not Within a Municipality,CO,,,,
4313 WOODRUFF RD.,COLUMBUS,GA,132150008002000,13,215,000800
6205 ARCHIBALD AVE,RANCHO CUCAMONGA,CA,060710020181015,06,071,002018
1112 W. WASHINGTON STREET,ALEXANDRIA,IN,180950106002038,18,095,010600
6952 WEIMAN CT,COMMERCE CITY,CO,080010087053008,08,001,008705
10044 S CENTRAL PARK AVE,CHICAGO,IL,170317402001000,17,031,740200
67TH AVENUE ,GLENDALE,AZ,,,,
6512 E 155TH ST,GRANDVIEW,MO,290950134104006,29,095,013410
9130 15TH PL. S. UNIT A,SEATTLE,WA,530330264001005,53,033,026400
HIGHWAY 24 AND HIGHWAY 300,LEADVILLE,CO,,,,
311 COUNTY ROAD 11,BELLEFONTAINE,OH,390910044003066,39,091,004400
67TH AVENUE AND CAMELBACK ROAD,GLENDALE,AZ,,,,
4955 MARMOL DR,WOODLAND HILLS,CA,060371375022015,06,037,137502
139 LINCOLN AVENUE,FAIR LAWN BOROUGH,NJ,340030172006007,34,003,017200
206 SPRINGDALE LANE,MILLERSVILLE,PA,420710136021017,42,071,013602
201 ESSEX STREET,CONCORD,CA,060133150001048,06,013,315000
878 VIA PANORAMA,BANNING,CA,060650441041026,06,065,044104
4505 W 91ST STREET,PRARIE VILLAGE,KS,200910518011006,20,091,051801
INTERSECTION BAKER STREET AND WATER STREET,WARREN,RI,,,,
FIG TREE LN ,REDDING,CA,,,,
216 W TADDEI RD,ACAMPO,CA,060770046002013,06,077,004600
7509 GLEN TERRA DR,LANSING,MI,260450203031006,26,045,020303
447 LOVE BRIDGE ROAD SE,CALHOUN,GA,131299708011005,13,129,970801
4149 CASE RD.,AVON,OH,390930132013015,39,093,013201
INTERSECTION OF POTTER RD. ,DAVISON,MI,,,,
560 NE 36TH ST.,BOCA RATON,FL,120990073022008,12,099,007302
COUNTY RD 20 ,ORLAND,CA,,,,
22320  CHIPOTLE PASS,SPICEWOOD,TX,484530365002060,48,453,036500
2945 SANTA ANA DR.,RENO,NV,320310021061004,32,031,002106
"SW/4 SEC 11, T13N, R16E",Not Within a Municipality,OK,,,,
4550 SE 29TH STREET,TOPEKA,KS,201770039012047,20,177,003901
NECHES RIVER PIPELINE CROSIIING,VIDOR,TX,,,,
6221 BRYNHURST AVE,LOS ANGELES,CA,060372349022000,06,037,234902
