datafile_as_of,ff,significant,serious,report_number,supplemental_number,report_received_date,report_type,operator_id,name,operator_street_address,operator_city_name,operator_state_abbreviation,operator_postal_code,local_datetime,time_zone,daylight_savings_ind,iyear,location_street_address,location_city_name,location_county_name,location_state_abbreviation,location_postal_code,location_latitude,location_longitude,total_cost,total_cost_current,injury_ind,injure,num_pub_evacuated,fatal,cause,cause_details,material_involved,material_details,narrative,unintentional_release,installation_year,decade,street,city,state,geoid,state_code,county_code,tract,geoid_clean,GEO_ID,NAME,P1_001N,GEO_ID_clean
2/28/22,NO,NO,NO,20110281,15301,8/11/11,ORIGINAL FINAL,12350,"CENTERPOINT ENERGY RESOURCES CORP., DBA CENTERPOINT ENERGY MINNESOTA GAS",1111 LOUISIANA ST  ,HOUSTON,TX,77002,7/15/11 11:38,,,2011,7200 DUPONT AVE NORTH,BROOKLYN CENTER,HENNEPIN,MN,55430,45.084365,-93.295627,875,1044.22253922967,NO,0,,0,NATURAL FORCE DAMAGE,LIGHTNING,COPPER,,HOUSE WAS DAMAGED WHEN LIGHTNING STRIKE TRAVELLED FROM A TREE TO THE RISER.,0.0,1965-01-01,1960-1969,7200 DUPONT AVE NORTH,BROOKLYN CENTER,MN,270530202024004,27,053,020202,27053020202,1400000US27053020202,"Census Tract 202.02, Hennepin County, Minnesota",5278,27053020202
2/28/22,NO,NO,NO,20110282,15302,8/11/11,ORIGINAL FINAL,12350,"CENTERPOINT ENERGY RESOURCES CORP., DBA CENTERPOINT ENERGY MINNESOTA GAS",1111 LOUISIANA ST  ,HOUSTON,TX,77002,7/15/11 10:06,,,2011,4110 78 COURT NO,BROOKLYN PARK,HENNEPIN,MN,55443-3431,45.097431,-93.334117,871,1027.18157046102,NO,0,7.0,0,NATURAL FORCE DAMAGE,LIGHTNING,COPPER,,"HOUSE AT 4110 78 CT NORTH, BROOKLYN PARK, MINNESOTA WAS STRUCK BY LIGHTNING AND SUBSEQUENT HOUSE FIRE DAMAGED THE GAS METER AND RISER RESULTING IN RELEASE OF GAS.",4.7,1978-01-01,1970-1979,4110 78 COURT NO,BROOKLYN PARK,MN,270530268113004,27,053,026811,27053026811,1400000US27053026811,"Census Tract 268.11, Hennepin County, Minnesota",6398,27053026811
2/28/22,NO,YES,YES,20110285,16001,8/11/11,SUPPLEMENTAL,18799,"SUPERIOR UTILITIES, CITY OF",135 W 4TH STREET - PO BOX 160 ,SUPERIOR,NE,68978,7/19/11 12:24,,,2011,320 E 2ND,SUPERIOR,NUCKOLLS,NE,68978,40.017804,-98.068415,47245,55848.7111821623,YES,1,12.0,0,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,STEEL,,"THIS IS A CONDENSED SUMMARY OF THE EVENTS.  THIS NARRATIVE WILL TRUNCATE DUE TO SPACE CONSIDERATIONS. FOR THE FULL REPORT, SEE THE COMPLETE ATTACHMENT SUBMITTED ORIGINALLY.  ON JULY 11, 2011 OPERATIONS WERE BEGAN TO ABANDON A SEGMENT OF 6' PIPING, OPERATING AT 18 OUNCES OF PRESSURE, FROM WITHIN THE SYSTEM.  AN INFLATABLE BAG WAS INSERTED INTO THE 6' MAIN AND INFLATED TO STOP GAS FLOW TO DOWNSTREAM PIPING.  THE DOWNSTREAM PIPING WAS PURGED OF GAS AND GAS FLOW WAS CONFIRMED STOPPED AT 10:25 AM.  A SEGMENT OF PIPING WAS REMOVED DOWNSTREAM OF THE STOP POINT AND PREPARATION BEGAN TO SEAL THE END OF PIPE.  AT APPROXIMATELY 12:20 PM. THERE WAS A FAILURE OF THE INFLATABLE LINE STOPPER, A RELEASE OF NATURAL GAS AND INSTANTANEOUS IGNITION OF THAT NATURAL GAS.  UPON IGNITION, THE GAS DEPARTMENT EMPLOYEE SAFELY EXITED THE EXCAVATION AS A SECOND EMPLOYEE ATTEMPTED TO EXTINGUISH THE FIRE. EMERGENCY OPERATIONS BEGAN AND GAS FLOW WAS STOPPED AND 6' PIPING SEALED BY 3:00 PM.  THIS RELEASE OF NATURAL GAS AND SUBSEQUENT FIRE DAMAGED EXCAVATOR EQUIPMENT AND LOCAL UTILITY FACILITIES IN THE AREA. THIS FIRE NECESSITATED THE SHUTDOWN OF PART OF THE ELECTRICAL POWER SYSTEM.",1024.0,,,320 E 2ND,SUPERIOR,NE,311299601002124,31,129,960100,31129960100,1400000US31129960100,"Census Tract 9601, Nuckolls County, Nebraska",1965,31129960100
2/28/22,NO,YES,YES,20110287,15306,8/11/11,ORIGINAL FINAL,20211,ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),5430 LBJ FREEWAY SUITE 1800,DALLAS,TX,75240,5/20/11 8:30,,,2011,ALGONQUIN ST AND IRQUOIS ST,MORRISTOWN,HAMBLEN,TN,37814,36.12345,-83.16789,550,627.16040556844,YES,1,0.0,0,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,PLASTIC,,MUNICIPALITY CUTTING ROAD WITH CONCRETE SAW DAMAGED 2 INCH PE GAS LINE.,10.0,,,ALGONQUIN ST AND IRQUOIS ST,MORRISTOWN,TN,470631002002039,47,063,100200,47063100200,1400000US47063100200,"Census Tract 1002, Hamblen County, Tennessee",5632,47063100200
2/28/22,NO,YES,NO,20110318,15311,8/30/11,ORIGINAL FINAL,11032,LACLEDE GAS CO,720 OLIVE STREET,ST. LOUIS,MO,63101,8/1/11 16:50,,,2011,BIG TIMBER LANE AT MILL SPRING COURT,CHESTERFIELD,ST. LOUIS,MO,63017,38.636331,-90.530507,142226,169400.304995112,NO,0,0.0,0,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,PLASTIC,,"WATER ESCAPING AT HIGH PRESSURE THROUGH A HOLE IN A 6"" DIAMETER WATER MAIN SCOURED A LARGE OVAL SHAPED HOLE IN A 4"" PLASTIC GAS MAIN.  ACCORDING TO INFORMATION OBTAINED FROM THE WATER COMPANY WATER SYSTEM PRESSURE WAS BETWEEN 160 AND 170 PSI AT THAT LOCATION AT THE TIME.  THE TWO MAINS CROSS EACH OTHER AT THIS INTERSECTION.",87.0,1978-01-01,1970-1979,BIG TIMBER LANE AT MILL SPRING COURT,CHESTERFIELD,MO,291892178532006,29,189,217853,29189217853,1400000US29189217853,"Census Tract 2178.53, St. Louis County, Missouri",5015,29189217853
2/28/22,NO,YES,YES,20110320,15312,8/31/11,ORIGINAL FINAL,12778,"MORGANFIELD GAS SYSTEM, CITY OF",526 N COURT ST ,MORGANFIELD,KY,42437,8/16/11 11:05,,,2011,231 MULBERRY ST,UNIONTOWN,UNION,KY,42461,37.77259,-87.9343,247,267.313540557749,YES,1,0.0,0,OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION",STEEL,,"ON 8/16/11 THE GAS DEPARTMENT GOT A CALL AT 11:09 THAT A GAS LINE HAD HIT BY TRACTOR&BUSHOG AT 231 MULBERRY ST UNIONTOWN .AT 11:15 THE MORGANFIELD GAS DEPARTMENT ARRIVED ON SCENE .ONCE ON SCENE WE GOT THE GAS LEAK STOPPED AT 11:19 .AFTER INVESTIGATING THE SCENE WE FOUND OUT THAT A TRAILOR AND BEEN MOVED LEAVING THE GAS METER &RISER ON THE LOT ,THE GRASS GROWED UP AROUND IT THE LAND OWNER WAS MOWING AND FORGOT IT WAS THERE AND HIT WHILE MOWING CAUSING IT TO IGNITE BURNING TRACTOR AND HIMSELF WERE HE STAYED THE NIGHT IN THE HOSPITAL AND RELEASED THE NEXT DAY .THE LINE WAS TERMINATED AT THE MAIN THAT AFTERNOON",3.85,1984-01-01,1980-1989,231 MULBERRY ST,UNIONTOWN,KY,212259501002016,21,225,950100,21225950100,1400000US21225950100,"Census Tract 9501, Union County, Kentucky",1670,21225950100
2/28/22,NO,NO,NO,20110326,15313,9/7/11,ORIGINAL,2812,"CORPUS CHRISTI, CITY OF - GAS DIV",4225 SOUTH PORT AVENUE ,CORPUS CHRISTI,TX,78415,8/5/11 9:00,,,2011,900 BLK LIPAN,CORPUS CHRISTI,NUECES,TX,78401,27.795335,-97.39966,623,714.278400269887,NO,0,0.0,0,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,STEEL,,"THE EXCAVATOR WAS IN THE PROCESS OF INSTALLING STORM DRAIN PIPES IN THE ROADWAY ALONG LIPAN STREET WHEN A 3"" STUB OUT WAS STRUCK RESULTING IN A GAS RELEASE.  THE WORK WAS BEING CONDUCTED TO RECONSTRUCT THE INFRASTRUCTURE THAT WAS DAMAGED AS A RESULT OF A WATER LEAK.  THE LEAK WAS STOPPED AT 10:20AM AND PERMANENT REPAIRS WERE THEN COMPLETED ON AUGUST 5, 2011.    THE EXCAVATOR DID NOT PRODUCE A VALID LINE LOCATE TICKET REQUEST FOR THE EXCAVATION THAT TOOK PLACE FOR THE INSTALLATION OF THE STORM DRAIN.",,,,900 BLK LIPAN,CORPUS CHRISTI,TX,483550064003025,48,355,006400,48355006400,1400000US48355006400,"Census Tract 64, Nueces County, Texas",2303,48355006400
2/28/22,NO,NO,NO,20110338,15316,9/12/11,ORIGINAL,2812,"CORPUS CHRISTI, CITY OF - GAS DIV",4225 SOUTH PORT AVENUE ,CORPUS CHRISTI,TX,78415,8/11/11 17:34,,,2011,5821 SARATOGA,CORPUS CHRISTI,NUECES,TX,78414,27.68275,-97.37949,750,865.839843106651,NO,0,0.0,0,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,PLASTIC,,"THE LINE LOCATOR MARKED AND FLAGGED THE 2"" MAIN BUT FAILED TO LOCATE A 2"" SERVICE LINE RESULTING IN THE EXCAVATOR STRIKING THE SERVICE LINE.  THE SERVICE LINE WAS IN ACTIVE AT THE TIME OF THE INCIDENT.  PERMANENT REPAIRS WERE MADE BY REPLACING THE DAMAGED SECTION.",,,,5821 SARATOGA,CORPUS CHRISTI,TX,483550054132000,48,355,005413,48355005413,1400000US48355005413,"Census Tract 54.13, Nueces County, Texas",2892,48355005413
2/28/22,NO,YES,YES,20110348,30722,9/16/11,SUPPLEMENTAL FINAL,792,ATLANTA GAS LIGHT CO,10 PEACHTREE PLACE NE,ATLANTA,GA,30309,8/18/11 15:10,,,2011,8163 DORSETT STREET APT. 5A,DOUGLASVILLE,DOUGLAS,GA,30134,33.755744,-84.729459,360474,429954.993454452,YES,1,50.0,0,EQUIPMENT FAILURE,THREADED CONNECTION FAILURE,PLASTIC,,"A 1-1/4 INCH CAP ON A PLEXCO PE SERVICE TEE CRACKED CAUSING NATURAL GAS TO LEAK AND MIGRATE TO THE BUILDING WALL OF AN APARTMENT BUILDING. THE CAP WAS APPROXIMATELY 10 FEET OFF THE BUILDING WALL. AT SOME POINT AFTER THE INSTALLATION, THE PROPERTY OWNER HAD CONCRETE PATIOS POURED ADJACENT TO THE BUILDING AND OVER THE SERVICE TEES. THE PROPERTY OWNER ALSO HAD VINYL SIDING INSTALLED TO THE EXTERIOR OF THE TOWNHOMES.  THE SIDING COVERED THE GAP BETWEEN THE CONCRETE PATIOS AND THE BUILDING'S FOUNDATION SLAB WHICH PREVENTED MIGRATING GAS FROM VENTING TO THE ATMOSPHERE. THE ESCAPING GAS MIGRATED INTO THE TOWNHOUSE AND IGNITED WHEN THE MAINTENANCE MAN ADJUSTED THE THERMOSTAT WHEN RESPONDING TO A REPORT OF AN ODOR OF NATURAL GAS IN THE STRUCTURE.    THE MAINTENANCE MAN WAS INJURED REQUIRING HOSPITALIZATION AS PART OF THE INCIDENT. THE PIPELINE SEGMENT SUPPLYING GAS TO THE APARTMENT BUILDING WAS SHUT DOWN AS A RESULT OF THE INCIDENT WHERE PIPING WITHIN THE APARTMENT COMPLEX HAS SINCE BEEN REPLACED WITH NEW POLYETHYLENE (PE) PLASTIC ON 9/10/2012.",80.0,1987-01-01,1980-1989,8163 DORSETT STREET APT. 5A,DOUGLASVILLE,GA,130970803032015,13,097,080303,13097080303,1400000US13097080303,"Census Tract 803.03, Douglas County, Georgia",4424,13097080303
2/28/22,NO,YES,NO,20110367,15324,9/28/11,ORIGINAL,15952,PUBLIC SERVICE ELECTRIC & GAS CO,80 PARK PLAZA M/C - T18 ,NEWARK,NJ,07102-4194,8/29/11 6:45,,,2011,1518 LINCOLN AVENUE,POMPTON LAKES,PASSAIC COUNTY,NJ,07442,40.98452,-74.28336,76582,46656.5293072824,NO,0,0.0,0,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,STEEL,,"AT APPROXIMATELY 7 AM, AUGUST 29, 2011 PUBLIC SERVICE ELECTRIC AND GAS (PSE&G) LEARNED ABOUT A GAS EXPLOSION AT 1518 LINCOLN AVENUE, POMPTON LAKES, NEW JERSEY THROUGH LOCAL MEDIA OUTLETS. THE INCIDENT OCCURRED IN AN AREA THAT WAS IMPACTED BY HISTORIC FLOODING DUE TO RAINFALL FROM HURRICANE IRENE. THE AREA WAS INACCESSIABLE TO BOTH EMERGENCY RESPONDERS AND PSE&G CREWS AT THE TIME OF THE INCIDENT. AN INVESTGATION THAT TOOK PLACE AFTER FLOOD WATER RECEDED FOUND THAT THE FOUNDATION OF THE HOME AT 1518 LINCOLN AVENUE COLLAPED DUE TO STRESS FROM SURROUNDING FLOOD WATERS. AS A RESULT OF THE FOUNDATION COLLAPSE THE HOMES 3/4 - INCH STEEL GAS SERVICE RUPTURED JUST INSIDE THE FOUNDATION WALL.",114.42,1964-01-01,1960-1969,1518 LINCOLN AVENUE,POMPTON LAKES,NJ,340311964013016,34,031,196401,34031196401,1400000US34031196401,"Census Tract 1964.01, Passaic County, New Jersey",4187,34031196401
2/28/22,NO,NO,NO,20110370,15982,10/4/11,SUPPLEMENTAL FINAL,11713,KEYSPAN ENERGY DELIVERY - LONG ISLAND,175 E. OLD COUNTRY ROAD,HICKSVILLE,NY,11801,9/6/11 1:44,,,2011,150 LINCOLN STREET,ELMONT,NASSAU,NY,11003,40.703518,-73.700831,9250,10892.8837478341,NO,0,15.0,0,OTHER INCIDENT CAUSE,MISCELLANEOUS,OTHER,NO INDICATION OF NATIONALGRID FACILITIES,"AT 0144, NATIONAL GRID RESPONDED TO A REPORTED DISTURBANCE AT 150 LINCOLN STREET, ELMONT. UPON ARRIVAL AT 0158, THE CMS RESPONDER FOUND THAT THERE WAS EXTENSIVE DAMAGE TO 150 LINCOLN STREET AND THE TWO HOMES ON EACH SIDE OF THAT LOCATION. NATIONAL GRID CONDUCTED A LEAK SURVEY OF THE AREA AND A CHECK OF THE SERVICE HISTORY FOR THE RESIDENCE AND FOUND NOTHING THAT WOULD HAVE CONTRIBUTED TO THE INCIDENT. THE METER HEADER FROM THE HOUSE WAS TAKEN INTO CUSTODY BY THE NASSAU COUNTY FIRE MARSHALL.  THE METER HEADER WAS NEVER RETURNED.  THE SERVICE TO HOUSE 150 LINCOLN STREET WAS RETIRED. NO NOTIFICATION OR REQUEST FOR INFORMATION HAS BEEN RECEIVED FROM THE NASSAU COUNTY FIRE MARSHALL.  NO CLAIMS HAVE BEEN RECEIVED.  OUR FILE IN THIS MATTER HAS BEEN CLOSED.",50.0,,,150 LINCOLN STREET,ELMONT,NY,360594050002001,36,059,405000,36059405000,1400000US36059405000,"Census Tract 4050, Nassau County, New York",5453,36059405000
2/28/22,NO,NO,NO,20110373,15333,10/18/11,ORIGINAL FINAL,12408,MICHIGAN CONSOLIDATED GAS CO (MICHCON),ONE ENERGY PLAZA,DETROIT,MI,48226,9/25/11 23:50,,,2011,1467 TERRACE STREET,MUSKEGON,MUSKEGON,MI,49442-5015,43.22585,-86.23800001,54269,64763.8878178526,NO,0,3.0,0,OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION",OTHER,ALUMINUM METER CASE,"ON SUNDAY SEPTEMBER 25, 2011 AT APPROXIMATELY 11:40 PM A VEHICLE BACKING INTO A DRIVEWAY RAN OFF THE PAVEMENT AND STRUCK THE OUTSIDE METER ASEMBLY AT 1467 TERRACE STREET.  AT 11:50 PM MICHCON RECEIVED A REPORT OF A STRUCTURE FIRE AT 1457 TERRACE; THE CORRECT ADDRESS WAS DETERMINED TO BE 1467 TERRACE.  THE LOCAL FIRE DEPARTMENT REQUESTED THE GAS TO BE SHUT OFF TO ENABLE FIREFIGHTING OPERATIONS.  GAS SERVICE WAS TERMINATED AT APPROXIMATELY 1:54 AM ON SEPTEMBER 26, 2011 BY A MICHCON CREW EXCAVATING THE 5/8-INCH OD HIGH DENSITY POLYETHYLENE PLASTIC SERVICE LINE NEAR THE MAIN TAP, PINCHING THE PLASTIC TUBING, AND CUTTING AND CAPPING THE SERVICE LINE.  THE METER ASSEMBLY WAS DESTROYED IN THE FIRE AND WAS NOT RECOVERED.  SUBSEQUENT INVESTIGATION REVEALED THAT THE CAUSE OF THE STRUCTURE FIRE WAS LIKELY THE IMPACT OF THE VEHICLE ON THE OUTSIDE METER ASSEMBLY, APPARENTLY BREAKING THE METER AND OTHER COMPONENTS, AND CAUSING A GAS LEAK.  NATURAL GAS LEAKING FROM THE METER ASSEMBLY WAS IGNITED BY AN UNKNOWN SOURCE AND WAS FOUND BURNING AT THE SOUTH WALL OF THE HOUSE.  THE OCCUPANTS OF THE HOUSE ESCAPED WITHOUT INJURY.  THE TWO-STORY HOME AT 1467 TERRACE STREET SUSTAINED MAJOR FIRE DAMAGE TO THE STRUCTURE AND CONTENTS.",1.0,1994-01-01,1990-1999,1467 TERRACE STREET,MUSKEGON,MI,261210005004002,26,121,000500,26121000500,1400000US26121000500,"Census Tract 5, Muskegon County, Michigan",4906,26121000500
2/28/22,NO,YES,YES,20110375,15588,10/25/11,SUPPLEMENTAL FINAL,22189,PUGET SOUND ENERGY,355 110TH AVE NE ,BELLEVUE,WA,98004,9/26/11 6:16,,,2011,12312 5TH AVE NE,SEATTLE,KING,WA,98125,47.7182699,-122.322723,511500,610130.581027358,YES,2,,0,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT OR FACILITY,STEEL,,"THIS INCIDENT IS THE RESULT OF AN ELECTRICAL ARCING PROCESS INITIATED BY ELECTRICITY FROM A DOWNED POWER LINE.A REPORT ISSUED ON DECEMBER 26, 2012 BY THE WASHINGTON UTILITIES AND TRANSPORTATION COMMISSION, PREPARED AFTER ITS INVESTIGATION, HAS A NARRATIVE DESCRIPTION OF THIS INCIDENT. THIS REPORT IS AVAILABLE AT HTTP://WWW.UTC.WA.GOV/DOCS/PAGES/RECORDSCENTER.ASPX UNDER DOCKET PG-111723.",,,,12312 5TH AVE NE,SEATTLE,WA,530330006013001,53,033,000601,53033000601,1400000US53033000601,"Census Tract 6.01, King County, Washington",4074,53033000601
2/28/22,NO,NO,NO,20110376,15336,10/26/11,ORIGINAL FINAL,18484,SOUTHERN CALIFORNIA GAS CO,555 WEST FIFTH STREET ,LOS ANGELES,CA,90013,10/5/11 5:27,,,2011,12611 LACEY BLVD,HANFORD,KINGS,CA,93230,36.32798,-119.68401,76950,91685.8733545184,NO,0,0.0,0,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT OR FACILITY,STEEL,,"APPARENT ELECTRIC TRANSFORMER FAILURE SENT ELECTRICITY DOWN ONTO CUSTOMER HOUSELINE.  ELECTRICITY ARCED FROM HOUSELINE ONTO GAS SERVICE, BURNING HOLE AND ALLOWING DISTRICT PRESSURE TO ENTER HOUSELINE WHICH CAUSED A FIRE/EXPLOSION IN AN ADJACENT BUILDING..    LEAK REPAIRED, FACILITY TEMPORARLIY ABANDONED PENDING REBUILDING OF STRUCTURE.  NO INJURIES.",39.0,1966-01-01,1960-1969,12611 LACEY BLVD,HANFORD,CA,060310010013032,06,031,001001,06031001001,1400000US06031001001,"Census Tract 10.01, Kings County, California",5753,06031001001
2/28/22,NO,YES,YES,20110377,15540,11/3/11,SUPPLEMENTAL FINAL,12408,MICHIGAN CONSOLIDATED GAS CO (MICHCON),ONE ENERGY PLAZA  ,DETROIT,MI,48226,10/4/11 13:00,,,2011,456 MORAN,GROSSE POINTE FARMS,WAYNE,MI,48236,42.407864,-82.91242,7700,9072.32615457456,NO,0,0.0,1,CORROSION FAILURE,EXTERNAL CORROSION,CAST/WROUGHT IRON,,"ON OCTOBER 4, 2011, A  GAS LEAK REPAIR ORDER FOR THE ADDRESS OF 456 MORAN IN GROSSE POINTE FARMS, WAYNE COUNTY, MI WAS ASSIGNED TO A TWO PERSON CREW.  THE CREW CONSISTED OF A DISTRIBUTION GENERAL FITTER AND A SERVICE TECHNICIAN. THE CREW EXCAVATED AND EXPOSED A 6-INCH CAST IRON DISTRIBUTION MAIN OPERATING AT 5 PSIG.  THE DISTRIBUTION GENERAL FITTER, WHILE WEARING A SUPPLIED AIR-RESPIRATOR, PREPARED THE CAST IRON MAIN FOR INSTALLATION OF A 6-INCH BY 9-INCHES IN LENGTH PIPE REPAIR CLAMP.  THE DISTRIBUTION GENERAL FITTER INSTALLED THE CLAMP AND TIGHTENED THE BOLTS TO STOP THE LEAK.  THE DISTRIBUTION GENERAL FITTER REMOVED THE SUPPLIED AIR-RESPIRATOR FOR UNKNOWN REASONS. THEREAFTER, HE PROCEEDED TO FINISH TIGHTENING THE BOLTS AND SOAP CHECK THE PIPE TO VERIFY THAT THE LEAK WAS STOPPED.  AT THAT TIME, THE SERVICE TECHNICIAN LEFT THE TOP OF THE EXCAVATION AND WENT TO THE TRUCK TO RETRIEVE COATING FOR THE REPAIR CLAMP WHEN HE HEARD THE SOUND OF GAS BLOWING FROM THE EXCAVATION.  THE SERVICE TECHNICIAN IMMEDIATELY RETURNED TO THE EXCAVATION AND FOUND THE DISTRIBUTION GENERAL FITTER KNEELING FACE DOWN OVER THE GAS MAIN AND UNRESPONSIVE TO VERBAL COMMANDS.  THE SERVICE TECHNICIAN ATTEMPTED TO RETRIEVE THE DISTRIBUTION GENERAL FITTER FROM THE EXCAVATION BUT WAS UNABLE TO DO SO AND CALLED 911.  GROSSE POINTE FARMS POLICE AND EMS PERSONNEL RESPONDED TO THE SCENE AND PULLED THE DISTRIBUTION GENERAL FITTER FROM THE EXCAVATION; HE WAS TRANSFERRED TO ST. JOHN'S HOSPITAL IN DETROIT, MI WHERE HE WAS PRONOUNCED DEAD.  A SECOND REPAIR CREW WAS CALLED IN TO REPAIR THE GAS MAIN FOLLOWING THE INCIDENT AND INSTALLED A 6-INCH BY 12-INCHES IN LENGTH REPAIR CLAMP ADJACENT TO THE FIRST REPAIR CLAMP;  HOWEVER THE CLAMP FURTHER CRUSHED THE CORRODED/WEAKENED PIPE.   BOTH REPAIR CLAMPS WERE REMOVED AND A 6-INCH BY 30-INCHES IN LENGTH REPAIR CLAMP WAS INSTALLED TO REPAIR THE LEAK.     ON NOVEMBER 1, 2011, THE PIPE WAS REMOVED AND RECOVERED FOR EXAMINATION AND A METALLURGICAL ANALYSIS BY A THIRD PARTY LABORATORY.  THE ANALYSIS CONCLUDED THAT LOCALIZED GRAPHITIC CORROSION WEAKENED THE FRACTURED PIECES OF PIPE THAT WERE CRUSHED WHEN TIGHTENING THE REPAIR CLAMPS.",,1928-01-01,1920-1929,456 MORAN,GROSSE POINTE FARMS,MI,261635507003017,26,163,550700,26163550700,1400000US26163550700,"Census Tract 5507, Wayne County, Michigan",5817,26163550700
2/28/22,NO,YES,NO,20110378,15341,11/4/11,ORIGINAL,1640,BOSTON GAS CO,40 SYLVAN ROAD ,WALTHAM,MA,02451,1/15/10 9:06,,,2010,47 CHESTNUT STREET,WALTHAM,MIDDLESEX,MA,02451,42.3688146,-71.2392235,500000,608605.279567657,NO,0,20.0,0,INCORRECT OPERATION,OTHER INCORRECT OPERATION ,STEEL,,,,2002-01-01,2000-2009,47 CHESTNUT STREET,WALTHAM,MA,250173685003006,25,017,368500,25017368500,1400000US25017368500,"Census Tract 3685, Middlesex County, Massachusetts",3419,25017368500
2/28/22,NO,YES,YES,20110379,15342,11/4/11,ORIGINAL FINAL,1640,BOSTON GAS CO,40 SYLVAN ROAD ,WALTHAM,MA,02451,1/25/10 18:06,,,2010,22 MANNING STREET,READING,MIDDLESEX,MA,01867,42.5267815,-71.0940244,250000,304302.639783829,YES,1,3.0,0,NATURAL FORCE DAMAGE,TEMPERATURE,CAST/WROUGHT IRON,,,,1930-01-01,1930-1939,22 MANNING STREET,READING,MA,250173344004006,25,017,334400,25017334400,1400000US25017334400,"Census Tract 3344, Middlesex County, Massachusetts",6681,25017334400
2/28/22,NO,YES,YES,20110382,15865,11/18/11,SUPPLEMENTAL FINAL,2128,CASCADE NATURAL GAS CORP,8113 W. GRANDRIDGE BLVD,KENNEWICK,WA,99336,9/13/11 12:25,,,2011,1988 SE LUND AVE,PORT ORCHARD,KITSAP,WA,98366-5525,47.518956,-122.625644,59201,70449.355540586,YES,1,1.0,0,OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION",STEEL,,ON 9/13/2011 AT 12:29 911 KITSAP COUNTY NOTIFIED CASCADE NATURAL GAS CORP. (CNGC) OF A CAR CRASH INTO A HOME CAUSING A STRUCTURE FIRE.  THE VEHICLE SEVERED THE GAS RISER AT THE THREADS BELOW THE METER STOP WHICH CAUSED THE GAS TO BLOW WIDE OPEN AT 59 PSIG ON THE UNDERSIDE OF THE VEHICLE TRIGGERING IGNITION OF THE GAS AND BURNING THE VEHICLE AND HOME.  NO ONE WAS IN THE HOME AND BYSTANDERS EXTRACTED THE DRIVER FROM THE VEHICLE AND HE WAS TRANSPORTED TO HARRISON GENERAL HOSPITAL WITH NON LIFE THREATENING INJURIES.  AT 13:40 THE FLOW OF GAS WAS STOPPED.,49.2,1987-01-01,1980-1989,1988 SE LUND AVE,PORT ORCHARD,WA,530350923003000,53,035,092300,53035092300,1400000US53035092300,"Census Tract 923, Kitsap County, Washington",6642,53035092300
2/28/22,NO,NO,NO,20110385,15374,11/23/11,SUPPLEMENTAL FINAL,2812,"CORPUS CHRISTI, CITY OF - GAS DIV",4225 SOUTH PORT AVENUE ,CORPUS CHRISTI,TX,78415,10/25/11 6:15,,,2011,5129 KOSTORYZ,CORPU CHRISTI,NUECES,TX,78415,27.72763,-97.413674,3458,4068.35137971239,NO,0,10.0,0,CORROSION FAILURE,EXTERNAL CORROSION,STEEL,,"THE GAS DISPATCH OFFICE WAS NOTIFIED OF A POSSIBLE GAS LEAK AT 6:15AM AND DISPATCHES LEAK CREW.  THE 2"" STEEL MAIN WAS ISOLATED AT 10:58AM USING STOPPLE EQUIPMENT.  THE MAIN WAS EXPOSED AND A PIN HOLE CAUSED BY CORROSION WAS DISCOVERED.  A 24 FOOT SEGMENT OF MAIN WAS ABANDONED.",,,,5129 KOSTORYZ,CORPU CHRISTI,TX,483550019051001,48,355,001905,48355001905,1400000US48355001905,"Census Tract 19.05, Nueces County, Texas",2889,48355001905
