title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Hazardous Materials: Information Collection Activities,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the Paperwork Reduction Act of 1995, this notice announces that the Information Collection Request (ICR) discussed below will be forwarded to the Office of Management and Budget for renewal and extension, and this notice describes the nature of the information collection and its expected burdens. Additionally, we note that on January 13, 2022, a notice with a 60-day comment period soliciting comments on this ICR was published in the Federal Register, and PHMSA did not receive any comments on it.",87 FR 19734, 2022-07166,https://www.federalregister.gov/documents/2022/04/05/2022-07166/hazardous-materials-information-collection-activities,https://www.govinfo.gov/content/pkg/FR-2022-04-05/pdf/2022-07166.pdf,04/05/2022
"Pipeline Safety: Request for Special Permit; Tennessee Gas Pipeline Company, LLC",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is publishing this notice to solicit public comments on a request for special permit received from the Tennessee Gas Pipeline Company, LLC (TGP). The special permit request is seeking relief from compliance with certain requirements in the federal pipeline safety regulations. At the conclusion of the 30-day comment period, PHMSA will review the comments received from this notice as part of its evaluation to grant or deny the special permit request.",87 FR 19735, 2022-07146,https://www.federalregister.gov/documents/2022/04/05/2022-07146/pipeline-safety-request-for-special-permit-tennessee-gas-pipeline-company-llc,https://www.govinfo.gov/content/pkg/FR-2022-04-05/pdf/2022-07146.pdf,04/05/2022
Hazardous Materials: Frequently Asked Questions-Applicability of the Hazardous Material Regulations,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is announcing an initiative to convert historical letters of interpretation (LOI) applicable to the Hazardous Materials Regulations that have been issued to specific stakeholders into broadly applicable frequently asked questions on its website. By creating a repository of frequently asked questions, PHMSA seeks to eliminate the need for recurring requests for common letters of interpretations. This Federal Register Notice introduces this initiative and its objectives to those subject to the Hazardous Materials Regulations. PHMSA's objective is to gain insight regarding the utility of this initiative and topics to prioritize in the development of future frequently asked questions. PHMSA requests comment on the initiative and input on the prioritization of future sets of frequently asked questions.",87 FR 16308, 2022-05958,https://www.federalregister.gov/documents/2022/03/22/2022-05958/hazardous-materials-frequently-asked-questions-applicability-of-the-hazardous-material-regulations,https://www.govinfo.gov/content/pkg/FR-2022-03-22/pdf/2022-05958.pdf,03/22/2022
Revisions to Civil Penalty Amounts,Rule,Transportation Department; Federal Aviation Administration; Office of the Secretary; Great Lakes St. Lawrence Seaway Development Corporation; Maritime Administration; Pipeline and Hazardous Materials Safety Administration; Federal Railroad Administration; Federal Motor Carrier Safety Administration; National Highway Traffic Safety Administration,"This final rule provides the statutorily-prescribed 2022 adjustment to civil penalty amounts that may be imposed for violations of certain DOT regulations. In addition, this rule notes new DOT civil penalties authority provided in the Bipartisan Infrastructure Law (BIL, enacted as the Infrastructure Investment and Jobs Act).",87 FR 15839, 2022-04456,https://www.federalregister.gov/documents/2022/03/21/2022-04456/revisions-to-civil-penalty-amounts,https://www.govinfo.gov/content/pkg/FR-2022-03-21/pdf/2022-04456.pdf,03/21/2022
Hazardous Materials: Notice of Applications for New Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 13367, 2022-04947,https://www.federalregister.gov/documents/2022/03/09/2022-04947/hazardous-materials-notice-of-applications-for-new-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-03-09/pdf/2022-04947.pdf,03/09/2022
Hazardous Materials: Notice of Actions on Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 13365, 2022-04944,https://www.federalregister.gov/documents/2022/03/09/2022-04944/hazardous-materials-notice-of-actions-on-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-03-09/pdf/2022-04944.pdf,03/09/2022
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 13366, 2022-04948,https://www.federalregister.gov/documents/2022/03/09/2022-04948/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-03-09/pdf/2022-04948.pdf,03/09/2022
Hazardous Materials: Notice of Public Meetings in 2022 for International Standards on the Transport of Dangerous Goods,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This notice announces that PHMSA's Office of Hazardous Materials Safety will host three public meetings during 2022 in advance of certain international meetings. The first meeting will be held in preparation of the 60th session of the United Nations Sub-Committee of Experts on the Transport of Dangerous Goods (UNSCOE TDG) scheduled for June 27 to July 6, 2022, in Geneva, Switzerland. The second meeting will be held in preparation of the International Civil Aviation Organization's (ICAO) Dangerous Goods Panel (DGP) Working Group 22 (WG/ 22) tentatively scheduled for November 21-25, in Montreal, Canada. The third meeting will be held in preparation of the 61st session of the UNSCOE TDG scheduled for November 28 to December 6, 2022, in Geneva, Switzerland. For each of these meetings, PHMSA will solicit public input on current proposals.",87 FR 12214, 2022-04435,https://www.federalregister.gov/documents/2022/03/03/2022-04435/hazardous-materials-notice-of-public-meetings-in-2022-for-international-standards-on-the-transport,https://www.govinfo.gov/content/pkg/FR-2022-03-03/pdf/2022-04435.pdf,03/03/2022
"Pipeline Safety: Information Collection Activities, Gas and Liquid Pipeline Safety Program Performance Progress Report",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In compliance with the Paperwork Reduction Act of 1995 (44 U.S.C. 3501 et seq.), this notice announces that the information collection request abstracted below is being forwarded to the Office of Management and Budget (OMB) for review and comment. A Federal Register notice with a 60-day comment period soliciting comments on the information collection was published on December 15, 2021.",87 FR 10279, 2022-03800,https://www.federalregister.gov/documents/2022/02/23/2022-03800/pipeline-safety-information-collection-activities-gas-and-liquid-pipeline-safety-program-performance,https://www.govinfo.gov/content/pkg/FR-2022-02-23/pdf/2022-03800.pdf,02/23/2022
Hazardous Materials: Request for Comments on Issues Concerning International Atomic Energy Agency Regulations for the Safe Transport of Radioactive Materials,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,PHMSA and the U.S. Nuclear Regulatory Commission are jointly seeking comments on issues concerning requirements in the International Atomic Energy Agency (IAEA) regulations for the safe transport of radioactive materials. The IAEA is considering revisions to their regulations as part of its periodic review cycle for a new edition.,87 FR 9102, 2022-03393,https://www.federalregister.gov/documents/2022/02/17/2022-03393/hazardous-materials-request-for-comments-on-issues-concerning-international-atomic-energy-agency,https://www.govinfo.gov/content/pkg/FR-2022-02-17/pdf/2022-03393.pdf,02/17/2022
Hazardous Materials: Notice of Actions on Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 8337, 2022-03087,https://www.federalregister.gov/documents/2022/02/14/2022-03087/hazardous-materials-notice-of-actions-on-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-02-14/pdf/2022-03087.pdf,02/14/2022
Hazardous Materials: Notice of Applications for New Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 8338, 2022-03085,https://www.federalregister.gov/documents/2022/02/14/2022-03085/hazardous-materials-notice-of-applications-for-new-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-02-14/pdf/2022-03085.pdf,02/14/2022
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 8339, 2022-03086,https://www.federalregister.gov/documents/2022/02/14/2022-03086/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-02-14/pdf/2022-03086.pdf,02/14/2022
"Pipeline Safety: Request for Special Permit; Florida Gas Transmission Company, LLC",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is publishing this notice to solicit public comments on a request for a special permit received from the Florida Gas Transmission Company, LLC (FGT). The special permit request is seeking relief from compliance with certain requirements in the federal pipeline safety regulations. At the conclusion of the 30-day comment period, PHMSA will review the comments received from this notice as part of its evaluation to grant or deny the special permit request.",87 FR 6648, 2022-02344,https://www.federalregister.gov/documents/2022/02/04/2022-02344/pipeline-safety-request-for-special-permit-florida-gas-transmission-company-llc,https://www.govinfo.gov/content/pkg/FR-2022-02-04/pdf/2022-02344.pdf,02/04/2022
Pipeline Safety: Information Collection Activities,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the Paperwork Reduction Act of 1995, Public Law 104-13, PHMSA invites public comments about the Agency's intention to request Office of Management and Budget (OMB) approval to renew four information collections that are scheduled to expire in 2022. PHMSA has reviewed each information collection and considers them vital to maintaining pipeline safety. As such, PHMSA will request renewal from OMB, without change, for each information collection.",87 FR 5937, 2022-02048,https://www.federalregister.gov/documents/2022/02/02/2022-02048/pipeline-safety-information-collection-activities,https://www.govinfo.gov/content/pkg/FR-2022-02-02/pdf/2022-02048.pdf,02/02/2022
Pipeline Safety: Pipeline Safety Enhancement Programs,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This notice outlines how PHMSA will review and process Pipeline Safety Enhancement Program (PSEP) requests from pipeline owners and operators (PSEP applicants or applicants) to implement safety-enhancing testing programs for innovative technologies and operational practices on natural gas and hazardous liquid (HL) pipeline facilities. PHMSA will review each PSEP application and provide regulatory oversight of each approved PSEP, in accordance with the Protecting our Infrastructure of Pipelines and Enhancing Safety Act of 2020 (PIPES Act of 2020), to ensure the safety measures in each achieve a level of safety greater than the level of safety provided by the federal pipeline safety regulations (PSR).",87 FR 5939, 2022-02159,https://www.federalregister.gov/documents/2022/02/02/2022-02159/pipeline-safety-pipeline-safety-enhancement-programs,https://www.govinfo.gov/content/pkg/FR-2022-02-02/pdf/2022-02159.pdf,02/02/2022
"Pipeline Safety: Informational Webinar Addressing Inspection of Operators' Plans To Eliminate Hazardous Leaks, Minimize Releases of Methane, and Remediate or Replace Leak-Prone Pipe",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This notice announces a public informational webinar on the scope of Section 114 of the Protecting our Infrastructure of Pipelines and Enhancing Safety Act of 2020 (PIPES Act of 2020). The webinar will also cover PHMSA and state inspection plans to ensure compliance of operators' inspection and maintenance procedures to eliminate hazardous leaks, minimizes releases of methane (the predominant component of natural gas), and the replacement or remediation of facilities known to leak.",87 FR 4327, 2022-01596,https://www.federalregister.gov/documents/2022/01/27/2022-01596/pipeline-safety-informational-webinar-addressing-inspection-of-operators-plans-to-eliminate,https://www.govinfo.gov/content/pkg/FR-2022-01-27/pdf/2022-01596.pdf,01/27/2022
Hazardous Materials: Notice of Applications for New Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 2237, 2022-00449,https://www.federalregister.gov/documents/2022/01/13/2022-00449/hazardous-materials-notice-of-applications-for-new-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-01-13/pdf/2022-00449.pdf,01/13/2022
Hazardous Materials: Information Collection Activities,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the Paperwork Reduction Act of 1995, PHMSA invites comments on this information collection pertaining to hazardous materials transportation for which PHMSA intends to request renewal from the Office of Management and Budget.",87 FR 2238, 2022-00575,https://www.federalregister.gov/documents/2022/01/13/2022-00575/hazardous-materials-information-collection-activities,https://www.govinfo.gov/content/pkg/FR-2022-01-13/pdf/2022-00575.pdf,01/13/2022
Hazardous Materials: Notice of Applications for Modifications to Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 1837, 2022-00451,https://www.federalregister.gov/documents/2022/01/12/2022-00451/hazardous-materials-notice-of-applications-for-modifications-to-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-01-12/pdf/2022-00451.pdf,01/12/2022
Hazardous Materials: Notice of Actions on Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 1838, 2022-00452,https://www.federalregister.gov/documents/2022/01/12/2022-00452/hazardous-materials-notice-of-actions-on-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-01-12/pdf/2022-00452.pdf,01/12/2022
"Pipeline Safety: Unusually Sensitive Areas for the Great Lakes, Coastal Beaches, and Certain Coastal Waters",Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is amending the pipeline safety regulations to explicitly state that certain coastal waters, the Great Lakes, and coastal beaches are classified as unusually sensitive areas for the purpose of compliance with the hazardous liquid integrity management regulations. This amendment implements mandates contained in the Protecting our Infrastructure of Pipelines and Enhancing Safety (PIPES) Act of 2016, as amended by the PIPES Act of 2020. A hazardous liquid pipeline that could affect these newly designated areas must be included in an operator's integrity management program.",86 FR 73173, 2021-27751,https://www.federalregister.gov/documents/2021/12/27/2021-27751/pipeline-safety-unusually-sensitive-areas-for-the-great-lakes-coastal-beaches-and-certain-coastal,https://www.govinfo.gov/content/pkg/FR-2021-12-27/pdf/2021-27751.pdf,12/27/2021
Pipeline Safety: Random Drug Testing Rate; Management Information System Reporting; and Obtaining Drug and Alcohol Management Information System Sign-In Information,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA has determined that the minimum random drug testing rate for covered employees will remain at 50 percent during calendar year 2022. Operators are reminded that drug and alcohol (D&A) testing information must be submitted for contractors who are performing or are ready to perform covered functions. For calendar year 2021 reporting, the username and password for the Drug and Alcohol Management Information System (DAMIS) will be available in the PHMSA Portal.",86 FR 72306, 2021-27504,https://www.federalregister.gov/documents/2021/12/21/2021-27504/pipeline-safety-random-drug-testing-rate-management-information-system-reporting-and-obtaining-drug,https://www.govinfo.gov/content/pkg/FR-2021-12-21/pdf/2021-27504.pdf,12/21/2021
Hazardous Materials: Notice of Applications for Modifications to Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",86 FR 71543, 2021-27183,https://www.federalregister.gov/documents/2021/12/16/2021-27183/hazardous-materials-notice-of-applications-for-modifications-to-special-permits,https://www.govinfo.gov/content/pkg/FR-2021-12-16/pdf/2021-27183.pdf,12/16/2021
Hazardous Materials: Notice of Applications for New Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",86 FR 71544, 2021-27182,https://www.federalregister.gov/documents/2021/12/16/2021-27182/hazardous-materials-notice-of-applications-for-new-special-permits,https://www.govinfo.gov/content/pkg/FR-2021-12-16/pdf/2021-27182.pdf,12/16/2021
Hazardous Materials: Notice of Actions on Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",86 FR 71545, 2021-27184,https://www.federalregister.gov/documents/2021/12/16/2021-27184/hazardous-materials-notice-of-actions-on-special-permits,https://www.govinfo.gov/content/pkg/FR-2021-12-16/pdf/2021-27184.pdf,12/16/2021
"Pipeline Safety: Information Collection Activities, Gas and Hazardous Liquid Pipeline Safety Program Performance Progress Report",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the Paperwork Reduction Act of 1995, PHMSA invites comments from affected agencies and members of the public on the information collection detailed below. PHMSA is preparing to request Office of Management and Budget (OMB) approval for the renewal of the information collection covering the Gas Pipeline Safety Program Performance Progress Report and Hazardous Liquid Pipeline Safety Program Performance Progress Report currently approved under OMB control number 2137-0584.",86 FR 71317, 2021-27069,https://www.federalregister.gov/documents/2021/12/15/2021-27069/pipeline-safety-information-collection-activities-gas-and-hazardous-liquid-pipeline-safety-program,https://www.govinfo.gov/content/pkg/FR-2021-12-15/pdf/2021-27069.pdf,12/15/2021
"Pipeline Safety: Safety of Gas Gathering Pipelines: Extension of Reporting Requirements, Regulation of Large, High-Pressure Lines, and Other Related Amendments",Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is revising the Federal Pipeline Safety Regulations to improve the safety of onshore gas gathering pipelines. This final rule addresses Congressional mandates, Government Accountability Office recommendations, and public input received as part of the rulemaking process. The amendments in this final rule extend reporting requirements to all gas gathering operators and apply a set of minimum safety requirements to certain gas gathering pipelines with large diameters and high operating pressures. The rule does not affect offshore gas gathering pipelines.",86 FR 63266, 2021-24240,https://www.federalregister.gov/documents/2021/11/15/2021-24240/pipeline-safety-safety-of-gas-gathering-pipelines-extension-of-reporting-requirements-regulation-of,https://www.govinfo.gov/content/pkg/FR-2021-11-15/pdf/2021-24240.pdf,11/15/2021
Hazardous Materials: Notice of Actions on Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",86 FR 62595, 2021-24561,https://www.federalregister.gov/documents/2021/11/10/2021-24561/hazardous-materials-notice-of-actions-on-special-permits,https://www.govinfo.gov/content/pkg/FR-2021-11-10/pdf/2021-24561.pdf,11/10/2021
Hazardous Materials: Notice of Applications for Modifications to Special Permit,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",86 FR 62597, 2021-24562,https://www.federalregister.gov/documents/2021/11/10/2021-24562/hazardous-materials-notice-of-applications-for-modifications-to-special-permit,https://www.govinfo.gov/content/pkg/FR-2021-11-10/pdf/2021-24562.pdf,11/10/2021
Hazardous Materials: Notice of Applications for New Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1-- Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",86 FR 62598, 2021-24563,https://www.federalregister.gov/documents/2021/11/10/2021-24563/hazardous-materials-notice-of-applications-for-new-special-permits,https://www.govinfo.gov/content/pkg/FR-2021-11-10/pdf/2021-24563.pdf,11/10/2021
